# 本文件由失物招领系统自动生成，记录与审计日志一致，可作为溯源与责任认定（追责）依据。时间均为 UTC（ISO8601）。
记录ID,字段,值,说明
1,match_id,1,匹配记录ID（系统内部编号，关联失物与拾物）
1,lost_item_id,3,失物条目ID
1,lost_category,雨伞,失物类别（如 手机/钱包/钥匙/书包）
1,lost_title,一把黑色雨伞,失物主标题
1,lost_student_no,123,失主学号（明文，仅管理员可见）
1,lost_phone,12345677784,失主手机号（明文，仅管理员可见）
1,lost_real_name,,失主真实姓名（明文）
1,found_item_id,2,拾物条目ID
1,found_category,雨伞,拾物类别（中文）
1,found_student_no,234,拾主学号（明文，仅管理员可见）
1,found_phone,12345678999,拾主手机号（明文，仅管理员可见）
1,found_real_name,,拾主真实姓名（明文）
1,match_score,77.5,匹配综合得分（0-100，≥80 为疑似匹配阈值）：77.5
1,status,2,匹配状态：2=已完成（双方完成线下交接，匹配闭环）（全部取值：0待认领/1认领中/2已完成/3已拒绝/4待自取/5已放弃/6已撤回）
1,completed_at,2026-08-05T11:32:00.711881,交接完成时间（空=尚未完成交接）

# ===== 对话记录（匹配 #1，共 1 条）=====
# 2026-08-05 11:31:21  失主：你好，这是我的伞

